"","Date","Year","Round","Region","wSeed","Winner","WConf","WScore","LSeed","Loser","LConf","LScore","OT","SeD","ScD","Upset"
"160","13-Mar-87",1987,"64","Southeast",1,"Georgetown","BE",75,16,"Bucknell","Pat",53,"",-15,22,"1 over 16"
"161","21-Mar-13",2013,"64","East",6,"Butler","BE",68,11,"Bucknell","Pat",56,"",-5,12,"6 over 11"
"162","17-Mar-11",2011,"64","West",3,"Connecticut","Amer",81,14,"Bucknell","Pat",52,"",-11,29,"3 over 14"
"163","19-Mar-06",2006,"32","West",1,"Memphis","Amer",72,9,"Bucknell","Pat",56,"",-8,16,"1 over 9"
"164","16-Mar-17",2017,"64","West",4,"West Virginia","B12",86,13,"Bucknell","Pat",80,"",-9,6,"4 over 13"
"165","20-Mar-05",2005,"32","East",6,"Wisconsin","B10",71,14,"Bucknell","Pat",62,"",-8,9,"6 over 14"
"166","20-Mar-15",2015,"64","Midwest",5,"West Virginia","B12",68,12,"Buffalo","MAC",62,"",-7,6,"5 over 12"
"167","17-Mar-16",2016,"64","South",3,"Miami FL","ACC",79,14,"Buffalo","MAC",72,"",-11,7,"3 over 14"
"168","23-Mar-08",2008,"32","East",2,"Tennessee","SEC",76,7,"Butler","BE",71,"1 OT",-5,5,"2 over 7"
"169","23-Mar-07",2007,"16","Midwest",1,"Florida","SEC",65,5,"Butler","BE",57,"",-4,8,"1 over 5"
"170","5-Apr-10",2010,"Champ","Championship",1,"Duke","ACC",61,5,"Butler","BE",59,"",-4,2,"1 over 5"
"171","23-Mar-13",2013,"32","East",3,"Marquette","BE",74,6,"Butler","BE",72,"",-3,2,"3 over 6"
"172","19-Mar-16",2016,"32","Midwest",1,"Virginia","ACC",77,9,"Butler","BE",69,"",-8,8,"1 over 9"
"173","19-Mar-09",2009,"64","South",8,"LSU","SEC",75,9,"Butler","BE",71,"",-1,4,"8 over 9"
"174","17-Mar-00",2000,"64","East",5,"Florida","SEC",69,12,"Butler","BE",68,"1 OT",-7,1,"5 over 12"
"175","13-Mar-98",1998,"64","South",4,"New Mexico","MWC",79,13,"Butler","BE",62,"",-9,17,"4 over 13"
"176","4-Apr-11",2011,"Champ","Championship",3,"Connecticut","Amer",53,8,"Butler","BE",41,"",-5,12,"3 over 8"
"177","21-Mar-15",2015,"32","Midwest",3,"Notre Dame","ACC",67,6,"Butler","BE",64,"1 OT",-3,3,"3 over 6"
"178","18-Mar-01",2001,"32","Midwest",2,"Arizona","P12",73,10,"Butler","BE",52,"",-8,21,"2 over 10"
"179","13-Mar-97",1997,"64","Midwest",3,"Cincinnati","Amer",86,14,"Butler","BE",69,"",-11,17,"3 over 14"
"180","24-Mar-17",2017,"16","South",1,"North Carolina","ACC",92,4,"Butler","BE",80,"",-3,12,"1 over 4"
"181","28-Mar-03",2003,"16","East",1,"Oklahoma","B12",65,12,"Butler","BE",54,"",-11,11,"1 over 12"
"182","15-Mar-07",2007,"64","South",9,"Xavier","BE",79,8,"BYU","WCC",77,"",1,2,"9 over 8"
"183","20-Mar-08",2008,"64","West",9,"Texas A&M","SEC",67,8,"BYU","WCC",62,"",1,5,"9 over 8"
"184","20-Mar-14",2014,"64","West",7,"Oregon","P12",87,10,"BYU","WCC",68,"",-3,19,"7 over 10"
"185","20-Mar-10",2010,"32","West",2,"Kansas St.","B12",84,7,"BYU","WCC",72,"",-5,12,"2 over 7"
"186","15-Mar-12",2012,"64","West",3,"Marquette","BE",88,14,"BYU","WCC",68,"",-11,20,"3 over 14"
"187","19-Mar-09",2009,"64","West",9,"Texas A&M","SEC",79,8,"BYU","WCC",66,"",1,13,"9 over 8"
"188","19-Mar-88",1988,"32","Southeast",5,"Louisville","ACC",97,4,"BYU","WCC",76,"",1,21,"5 over 4"
"189","16-Mar-91",1991,"32","West",2,"Arizona","P12",76,10,"BYU","WCC",61,"",-8,15,"2 over 10"
"190","20-Mar-03",2003,"64","South",5,"Connecticut","Amer",58,12,"BYU","WCC",53,"",-7,5,"5 over 12"
"191","15-Mar-90",1990,"64","East",5,"Clemson","ACC",49,12,"BYU","WCC",47,"",-7,2,"5 over 12"
"192","15-Mar-01",2001,"64","West",5,"Cincinnati","Amer",84,12,"BYU","WCC",59,"",-7,25,"5 over 12"
"193","20-Mar-93",1993,"32","Midwest",2,"Kansas","B12",90,7,"BYU","WCC",76,"",-5,14,"2 over 7"
"194","17-Mar-15",2015,"Play-in","West",11,"Mississippi","SEC",94,11,"BYU","WCC",90,"",0,4,"11 over 11"
"195","24-Mar-11",2011,"16","Southeast",2,"Florida","SEC",83,3,"BYU","WCC",74,"1 OT",-1,9,"2 over 3"
"196","16-Mar-95",1995,"64","Southeast",9,"Tulane","Amer",76,8,"BYU","WCC",70,"",1,6,"9 over 8"
"197","12-Mar-87",1987,"64","Southeast",7,"New Orleans","Slnd",83,10,"BYU","WCC",79,"",-3,4,"7 over 10"
"198","18-Mar-04",2004,"64","West",5,"Syracuse","ACC",80,12,"BYU","WCC",75,"",-7,5,"5 over 12"
"199","19-Mar-92",1992,"64","West",7,"LSU","SEC",94,10,"BYU","WCC",83,"",-3,11,"7 over 10"
"200","21-Mar-14",2014,"64","Midwest",1,"Wichita St.","MVC",64,16,"Cal Poly","BW",37,"",-15,27,"1 over 16"
"201","18-Mar-16",2016,"64","West",2,"Oklahoma","B12",82,15,"Cal St. Bakersfield","WAC",68,"",-13,14,"2 over 15"
"202","20-Mar-08",2008,"64","Midwest",3,"Wisconsin","B10",71,14,"Cal St. Fullerton","BW",56,"",-11,15,"3 over 14"
"203","19-Mar-09",2009,"64","West",2,"Memphis","Amer",81,15,"Cal St. Northridge","BW",70,"",-13,11,"2 over 15"
"204","16-Mar-01",2001,"64","Midwest",4,"Kansas","B12",99,13,"Cal St. Northridge","BW",75,"",-9,24,"4 over 13"
"205","23-Mar-13",2013,"32","East",4,"Syracuse","ACC",66,12,"California","P12",60,"",-8,6,"4 over 12"
"206","14-Mar-12",2012,"Play-in","Midwest",12,"South Florida","Amer",65,12,"California","P12",54,"",0,11,"12 over 12"
