Date,Year,Round,Region,wSeed,Winner,WScore,LSeed,Loser,LScore,OT
14-Mar-99,1999,32,Midwest,13,Oklahoma,85,5,Charlotte,72,
18-Mar-00,2000,32,West,10,Gonzaga,82,2,St. John's,76,
24-Mar-89,1989,16,East,1,Georgetown,69,5,North Carolina St.,61,
24-Mar-89,1989,16,East,2,Duke,87,11,Minnesota,70,
24-Mar-89,1989,16,Midwest,1,Illinois,83,4,Louisville,69,
24-Mar-89,1989,16,Midwest,2,Syracuse,83,3,Missouri,80,
25-Mar-89,1989,8,Southeast,3,Michigan,102,5,Virginia,65,
25-Mar-89,1989,8,West,3,Seton Hall,84,4,UNLV,61,
19-Mar-00,2000,32,East,10,Seton Hall,67,2,Temple,65,1 OT
26-Mar-89,1989,8,Midwest,1,Illinois,89,2,Syracuse,86,
18-Mar-01,2001,32,South,11,Temple,75,3,Florida,54,
16-Mar-02,2002,32,South,10,Kent St.,71,2,Alabama,58,
3-Apr-89,1989,Champ,Championship,3,Michigan,80,3,Seton Hall,79,1 OT
15-Mar-90,1990,64,East,1,Connecticut,76,16,Boston University,52,
15-Mar-90,1990,64,East,4,La Salle,79,13,Southern Mississippi,63,
15-Mar-90,1990,64,East,5,Clemson,49,12,BYU,47,
16-Mar-02,2002,32,West,12,Missouri,83,4,Ohio St.,67,
15-Mar-90,1990,64,Midwest,1,Oklahoma,77,16,Towson,68,
15-Mar-90,1990,64,Midwest,4,Arkansas,68,13,Princeton,64,
15-Mar-90,1990,64,Midwest,8,North Carolina,83,9,Missouri St.,70,
17-Mar-02,2002,32,East,11,Southern Illinois,77,3,Georgia,75,
15-Mar-90,1990,64,Southeast,1,Michigan St.,75,16,Murray St.,71,1 OT
15-Mar-90,1990,64,Southeast,4,Georgia Tech,99,13,East Tennessee St.,83,
15-Mar-90,1990,64,Southeast,5,LSU,70,12,Villanova,63,
23-Mar-03,2003,32,East,10,Auburn,68,2,Wake Forest,62,
15-Mar-90,1990,64,West,1,UNLV,102,16,Arkansas Little Rock,72,
15-Mar-90,1990,64,West,4,Louisville,78,13,Idaho,59,
15-Mar-90,1990,64,West,8,Ohio St.,84,9,Providence,83,1 OT
23-Mar-03,2003,32,East,12,Butler,79,4,Louisville,71,
16-Mar-90,1990,64,East,2,Kansas,79,15,Robert Morris,71,
16-Mar-90,1990,64,East,3,Duke,81,14,Richmond,46,
16-Mar-90,1990,64,East,6,St. John's,81,11,Temple,65,
16-Mar-90,1990,64,East,7,UCLA,68,10,UAB,56,
16-Mar-90,1990,64,Midwest,2,Purdue,75,15,Louisiana Monroe,63,
16-Mar-90,1990,64,Midwest,3,Georgetown,70,14,Texas Southern,52,
16-Mar-90,1990,64,Midwest,6,Xavier,87,11,Kansas St.,79,
20-Mar-04,2004,32,Midwest,10,Nevada,91,2,Gonzaga,72,
16-Mar-90,1990,64,Southeast,2,Syracuse,70,15,Coppin St.,48,
16-Mar-90,1990,64,Southeast,6,Minnesota,64,11,UTEP,61,1 OT
16-Mar-90,1990,64,Southeast,7,Virginia,75,10,Notre Dame,67,
21-Mar-04,2004,32,Midwest,9,UAB,76,1,Kentucky,75,
16-Mar-90,1990,64,West,2,Arizona,79,15,South Florida,67,
16-Mar-90,1990,64,West,3,Michigan,76,14,Illinois St.,70,
16-Mar-90,1990,64,West,7,Alabama,71,10,Colorado St.,54,
19-Mar-05,2005,32,Midwest,12,Milwaukee,83,4,Boston College,75,
17-Mar-90,1990,32,East,1,Connecticut,74,9,California,54,
20-Mar-05,2005,32,East,10,North Carolina St.,65,2,Connecticut,62,
17-Mar-90,1990,32,Midwest,4,Arkansas,86,12,Dayton,84,
19-Mar-06,2006,32,East,11,George Mason,65,3,North Carolina,60,
17-Mar-90,1990,32,Southeast,1,Michigan St.,62,9,UC Santa Barbara,58,
17-Mar-90,1990,32,Southeast,4,Georgia Tech,94,5,LSU,91,
17-Mar-90,1990,32,West,1,UNLV,76,8,Ohio St.,65,
19-Mar-06,2006,32,West,13,Bradley,72,5,Pittsburgh,66,
18-Mar-90,1990,32,East,3,Duke,76,6,St. John's,72,
23-Mar-08,2008,32,Midwest,10,Davidson,74,2,Georgetown,70,
20-Mar-10,2010,32,East,11,Washington,82,3,New Mexico,64,
20-Mar-10,2010,32,Midwest,9,Northern Iowa,69,1,Kansas,67,
18-Mar-90,1990,32,Southeast,2,Syracuse,63,7,Virginia,61,
18-Mar-90,1990,32,Southeast,6,Minnesota,81,14,Northern Iowa,78,
20-Mar-10,2010,32,South,10,Saint Mary's,75,2,Villanova,68,
21-Mar-10,2010,32,East,12,Cornell,87,4,Wisconsin,69,
22-Mar-90,1990,16,East,1,Connecticut,71,5,Clemson,70,
22-Mar-90,1990,16,East,3,Duke,90,7,UCLA,81,
22-Mar-90,1990,16,Midwest,4,Arkansas,96,8,North Carolina,73,
20-Mar-11,2011,32,East,11,Marquette,66,3,Syracuse,62,
20-Mar-11,2011,32,Southwest,10,Florida St.,71,2,Notre Dame,57,
20-Mar-11,2011,32,Southwest,11,VCU,94,3,Purdue,76,
23-Mar-90,1990,16,West,1,UNLV,69,12,Ball St.,67,
