Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT,SeD,ScD,Upset
222,19-Mar-88,1988,32,Southeast,1,Oklahoma,B12,107,8,Auburn,SEC,87,,-7,20,1 over 8
223,19-Mar-88,1988,32,Southeast,5,Louisville,ACC,97,4,BYU,WCC,76,,1,21,5 over 4
224,19-Mar-88,1988,32,Midwest,4,Kansas St.,B12,66,5,DePaul,BE,58,,-1,8,4 over 5
225,19-Mar-88,1988,32,West,3,Michigan,B10,108,6,Florida,SEC,85,,-3,23,3 over 6
226,19-Mar-88,1988,32,West,2,North Carolina,ACC,123,10,Loyola Marymount,WCC,97,,-8,26,2 over 10
227,19-Mar-88,1988,32,Midwest,1,Purdue,B10,100,9,Memphis,Amer,73,,-8,27,1 over 9
228,19-Mar-88,1988,32,East,2,Duke,ACC,94,7,SMU,Amer,79,,-5,15,2 over 7
229,19-Mar-88,1988,32,East,11,Rhode Island,A10,97,3,Syracuse,ACC,94,,8,3,11 over 3
230,20-Mar-88,1988,32,East,1,Temple,Amer,74,8,Georgetown,BE,53,,-7,21,1 over 8
231,20-Mar-88,1988,32,East,13,Richmond,A10,59,5,Georgia Tech,ACC,55,,8,4,13 over 5
232,20-Mar-88,1988,32,Southeast,6,Villanova,BE,66,3,Illinois,B10,63,,3,3,6 over 3
233,20-Mar-88,1988,32,Southeast,2,Kentucky,SEC,90,7,Maryland,B10,81,,-5,9,2 over 7
234,20-Mar-88,1988,32,Midwest,6,Kansas,B12,61,14,Murray St.,OVC,58,,-8,3,6 over 14
235,20-Mar-88,1988,32,Midwest,7,Vanderbilt,SEC,80,2,Pittsburgh,ACC,74,1 OT,5,6,7 over 2
236,20-Mar-88,1988,32,West,1,Arizona,P12,84,8,Seton Hall,BE,55,,-7,29,1 over 8
237,20-Mar-88,1988,32,West,5,Iowa,B10,104,4,UNLV,MWC,86,,1,18,5 over 4
238,24-Mar-88,1988,16,Southeast,6,Villanova,BE,80,2,Kentucky,SEC,74,,4,6,6 over 2
239,24-Mar-88,1988,16,Southeast,1,Oklahoma,B12,108,5,Louisville,ACC,98,,-4,10,1 over 5
