"","year","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","Factor","Dollar","Equivalent","Newbudget","Newgross"
"65",1986,0,"Seasonal Film Corporation","USA","Corey Yuen","Action",4662137,"No Retreat, No Surrender","PG","1986-05-02",85,5.6,"Kurt McKinney",12803,"See-Yuen Ng",2.21,"$1,093.00 ","$2,414.32 ",0,10303322.77
"66",1986,0,"Universal Pictures","USA","Anthony Perkins","Horror",14481606,"Psicosis III","R","1986-07-02",93,5.3,"Anthony Perkins",10022,"Charles Edward Pogue",2.21,"$1,093.00 ","$2,414.32 ",0,32004349.26
"67",1986,2e+07,"Paramount Pictures","USA","Mike Nichols","Comedy",25314289,"Heartburn","R","1986-07-25",108,6.1,"Meryl Streep",7570,"Nora Ephron",2.21,"$1,093.00 ","$2,414.32 ",44200000,55944578.69
"68",1986,1.5e+07,"Warner Bros.","USA","Michael Chapman","Adventure",1953732,"The Clan of the Cave Bear","R","1986-01-17",98,5.3,"Daryl Hannah",5340,"Jean M. Auel",2.21,"$1,093.00 ","$2,414.32 ",33150000,4317747.72
"69",1986,1.2e+07,"Golan-Globus Productions","USA","Menahem Golan","Action",17768900,"The Delta Force","R","1986-02-14",125,5.6,"Chuck Norris",15819,"James Bruner",2.21,"$1,093.00 ","$2,414.32 ",26520000,39269269
"70",1986,0,"Warner Bros.","USA","Wes Craven","Drama",8988731,"Deadly Friend","R","1986-10-10",91,5.5,"Matthew Labyorteaux",5419,"Diana Henstell",2.21,"$1,093.00 ","$2,414.32 ",0,19865095.51
"71",1986,0,"TriStar Pictures","USA","Edward Zwick","Comedy",38702310,"About Last Night...","R","1986-07-02",113,6.2,"Rob Lowe",12307,"David Mamet",2.21,"$1,093.00 ","$2,414.32 ",0,85532105.1
"72",1986,0,"Balcor Film Investors","USA","Steve Miner","Comedy",27820000,"Soul Man","PG-13","1986-10-24",104,5.2,"C. Thomas Howell",6440,"Carol Black",2.21,"$1,093.00 ","$2,414.32 ",0,61482200
"73",1986,0,"A&M; Films","USA","Savage Steve Holland","Comedy",13431806,"One Crazy Summer","PG","1986-08-08",93,6.4,"John Cusack",11581,"Savage Steve Holland",2.21,"$1,093.00 ","$2,414.32 ",0,29684291.26
"74",1986,0,"De Laurentiis Entertainment Group (DEG)","USA","Charles Martin Smith","Comedy",6797218,"Trick or Treat","R","1986-10-24",98,5.8,"Marc Price",4585,"Rhet Topham",2.21,"$1,093.00 ","$2,414.32 ",0,15021851.78
"75",1986,1.8e+07,"Paramount Pictures","USA","Ron Howard","Comedy",36611610,"Gung Ho","PG-13","1986-03-14",112,6.2,"Michael Keaton",9965,"Edwin Blum",2.21,"$1,093.00 ","$2,414.32 ",39780000,80911658.1
"76",1986,0,"American Filmworks","USA","Sidney Lumet","Crime",25147055,"The Morning After","R","1986-12-25",103,6,"Jane Fonda",4943,"James Cresson",2.21,"$1,093.00 ","$2,414.32 ",0,55574991.55
"77",1986,0,"Police Academy Productions","USA","Jerry Paris","Comedy",43579163,"Police Academy 3: Back in Training","PG","1986-03-21",83,5.2,"Steve Guttenberg",35443,"Neal Israel",2.21,"$1,093.00 ","$2,414.32 ",0,96309950.23
"78",1986,175000,"40 Acres & A Mule Filmworks","USA","Spike Lee","Comedy",7137502,"She's Gotta Have It","R","1986-08-08",84,6.6,"Tracy Camilla Johns",5257,"Spike Lee",2.21,"$1,093.00 ","$2,414.32 ",386750,15773879.42
"79",1986,0,"Touchstone Pictures","USA","Jim Abrahams","Comedy",71624879,"Ruthless People","R","1986-06-27",93,6.9,"Bette Midler",22554,"Dale Launer",2.21,"$1,093.00 ","$2,414.32 ",0,158290982.59
"80",1986,8700000,"Delphi V Productions","USA","Paul Michael Glaser","Action",4865912,"Band of the Hand","R","1986-04-11",109,6.3,"Stephen Lang",2297,"Leo Garen",2.21,"$1,093.00 ","$2,414.32 ",19227000,10753665.52
"81",1986,0,"Cannon Group","USA","John Frankenheimer","Crime",5186646,"52 Pick-Up","R","1986-11-07",110,6.4,"Roy Scheider",3866,"Elmore Leonard",2.21,"$1,093.00 ","$2,414.32 ",0,11462487.66
"82",1986,0,"Paramount Pictures","USA","Randa Haines","Drama",31853080,"Children of a Lesser God","R","1986-10-31",119,7.2,"William Hurt",12538,"Mark Medoff",2.21,"$1,093.00 ","$2,414.32 ",0,70395306.8
"83",1986,1.2e+07,"Columbia Pictures Corporation","USA","Mark L. Lester","Action",15945534,"Armed and Dangerous","PG-13","1986-08-15",88,5.6,"John Candy",9040,"Brian Grazer",2.21,"$1,093.00 ","$2,414.32 ",26520000,35239630.14
"84",1986,1100000,"Black Snake","USA","Jim Jarmusch","Comedy",1436000,"Down by Law","R","1986-10-30",107,7.8,"Tom Waits",39456,"Jim Jarmusch",2.21,"$1,093.00 ","$2,414.32 ",2431000,3173560
"85",1986,1e+07,"Orion Pictures","USA","Robert Mandel","Action",20603715,"F/X","R","1986-02-07",109,6.7,"Bryan Brown",14502,"Robert T. Megginson",2.21,"$1,093.00 ","$2,414.32 ",22100000,45534210.15
"86",1986,0,"Fuji Television Network","Japan","Masanori Hata","Adventure",13245219,"The Adventures of Milo and Otis","G","1989-08-25",90,7.1,"Kyôko Koizumi",9178,"Masanori Hata",2.21,"$1,093.00 ","$2,414.32 ",0,29271933.99
"87",1986,0,"Religioso Primitiva","USA","Jonathan Demme","Comedy",8362969,"Something Wild","R","1986-11-07",114,6.9,"Jeff Daniels",13186,"E. Max Frye",2.21,"$1,093.00 ","$2,414.32 ",0,18482161.49
"88",1986,1.8e+07,"Gladden Entertainment","USA","Marshall Brickman","Sci-Fi",3900000,"The Manhattan Project","PG-13","1986-06-13",117,6.1,"John Lithgow",4666,"Marshall Brickman",2.21,"$1,093.00 ","$2,414.32 ",39780000,8619000
"89",1986,5e+06,"Paramount Pictures","USA","Fred Walton","Horror",12947763,"April Fool's Day","R","1986-03-28",89,6.2,"Deborah Foreman",11458,"Danilo Bach",2.21,"$1,093.00 ","$2,414.32 ",11050000,28614556.23
"90",1986,2.5e+07,"Brooksfilms","USA","Alan Johnson","Action",1579260,"Solarbabies","PG-13","1986-11-26",94,4.8,"Richard Jordan",3397,"Walon Green",2.21,"$1,093.00 ","$2,414.32 ",55250000,3490164.6
"91",1986,0,"Kings Road Entertainment","USA","Jim McBride","Comedy",17685307,"The Big Easy","R","1987-08-28",102,6.6,"Dennis Quaid",10022,"Daniel Petrie Jr.",2.21,"$1,093.00 ","$2,414.32 ",0,39084528.47
"92",1986,0,"Lawrence Gordon Productions","USA","Penny Marshall","Comedy",25587804,"Jumpin' Jack Flash","R","1986-10-10",105,5.8,"Whoopi Goldberg",15703,"David Franzoni",2.21,"$1,093.00 ","$2,414.32 ",0,56549046.84
"93",1986,4e+07,"Carthago Films S.a.r.l.","France","Roman Polanski","Adventure",1641825,"Piratas","PG-13","1986-07-18",121,6.1,"Walter Matthau",6596,"John Brownjohn",2.21,"$1,093.00 ","$2,414.32 ",88400000,3628433.25
"94",1986,0,"Meltdown Productions","UK","Jimmy T. Murakami","Animation",5274,"When the Wind Blows","Not specified","1988-03-11",80,7.8,"Peggy Ashcroft",7900,"Raymond Briggs",2.21,"$1,093.00 ","$2,414.32 ",0,11655.54
