Gender,Age,MTW,Female,MT
Male,33,Yes,0,1
Male,20,No,0,0
Female,19,Yes,1,1
Female,71,Yes,1,1
Female,35,Yes,1,1
Female,71,Yes,1,1
Female,37,Yes,1,1
Male,32,No,0,0
Female,28,Yes,1,1
Female,27,No,1,0
Female,28,Yes,1,1
Male,57,No,0,0
Male,64,No,0,0
Female,57,Yes,1,1
Male,39,Yes,0,1
Male,37,Yes,0,1
Male,29,No,0,0
Female,43,Yes,1,1
Female,40,Yes,1,1
Male,53,Yes,0,1
Female,69,No,1,0
Male,49,No,0,0
Female,41,Yes,1,1
Female,62,Yes,1,1
Female,47,No,1,0
Male,52,No,0,0
Female,62,Yes,1,1
Female,66,Yes,1,1
Male,65,No,0,0
Female,73,Yes,1,1
Female,37,No,1,0
Female,40,Yes,1,1
Female,22,No,1,0
Male,22,No,0,0
Male,22,No,0,0
Male,56,Yes,0,1
Female,34,No,1,0
Male,58,No,0,0
Male,55,Yes,0,1
Male,42,Yes,0,1
Male,36,No,0,0
Male,40,No,0,0
Male,26,No,0,0
Female,38,Yes,1,1
Female,65,Yes,1,1
Male,44,No,0,0
Female,68,Yes,1,1
Male,61,No,0,0
Female,63,Yes,1,1
Male,31,No,0,0
Female,47,Yes,1,1
Female,27,Yes,1,1
Female,30,Yes,1,1
Female,63,Yes,1,1
Female,57,Yes,1,1
Male,25,No,0,0
Female,45,Yes,1,1
Female,43,Yes,1,1
Male,24,Yes,0,1
Female,72,No,1,0
Female,55,Yes,1,1
Female,77,No,1,0
Female,80,Yes,1,1
Female,79,No,1,0
Male,29,No,0,0
Female,68,Yes,1,1
Male,87,No,0,0
Male,69,No,0,0
Female,63,Yes,1,1
Female,80,Yes,1,1
Male,55,Yes,0,1
Female,62,Yes,1,1
Female,69,Yes,1,1
Female,62,Yes,1,1
Female,83,No,1,0
Female,79,Yes,1,1
Female,73,No,1,0
Male,59,No,0,0
Male,57,Yes,0,1
Male,67,No,0,0
Female,69,No,1,0
Female,56,Yes,1,1
Female,72,Yes,1,1
Male,59,No,0,0
Female,65,Yes,1,1
