Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT
179,20-Mar-87,1987,16,Midwest,10,LSU,SEC,63,3,DePaul,BE,58,
180,20-Mar-87,1987,16,Midwest,1,Indiana,B10,88,5,Duke,ACC,82,
181,20-Mar-87,1987,16,West,2,Iowa,B10,93,6,Oklahoma,B12,91,1 OT
182,20-Mar-87,1987,16,West,1,UNLV,MWC,92,12,Wyoming,MWC,78,
183,21-Mar-87,1987,8,Southeast,6,Providence,BE,88,1,Georgetown,BE,73,
184,21-Mar-87,1987,8,East,2,Syracuse,ACC,79,1,North Carolina,ACC,75,
185,22-Mar-87,1987,8,West,1,UNLV,MWC,84,2,Iowa,B10,81,
186,22-Mar-87,1987,8,Midwest,1,Indiana,B10,77,10,LSU,SEC,76,
187,28-Mar-87,1987,4,Final Four,2,Syracuse,ACC,77,6,Providence,BE,63,
188,28-Mar-87,1987,4,Final Four,1,Indiana,B10,97,1,UNLV,MWC,93,
189,30-Mar-87,1987,Champ,Championship,1,Indiana,B10,74,2,Syracuse,ACC,73,
190,17-Mar-88,1988,64,Midwest,9,Memphis,Amer,75,8,Baylor,B12,60,
191,17-Mar-88,1988,64,West,3,Michigan,B10,63,14,Boise St.,MWC,58,
192,17-Mar-88,1988,64,East,2,Duke,ACC,85,15,Boston University,Pat,69,
193,17-Mar-88,1988,64,Southeast,8,Auburn,SEC,90,9,Bradley,MVC,86,
194,17-Mar-88,1988,64,Southeast,4,BYU,WCC,98,13,Charlotte,CUSA,92,1 OT
195,17-Mar-88,1988,64,Southeast,1,Oklahoma,B12,94,16,Chattanooga,SC,66,
196,17-Mar-88,1988,64,Midwest,1,Purdue,B10,94,16,Fairleigh Dickinson,NEC,79,
197,17-Mar-88,1988,64,Midwest,4,Kansas St.,B12,66,13,La Salle,A10,53,
198,17-Mar-88,1988,64,East,11,Rhode Island,A10,87,6,Missouri,SEC,80,
199,17-Mar-88,1988,64,East,3,Syracuse,ACC,69,14,North Carolina A&T,MEAC,55,
200,17-Mar-88,1988,64,West,2,North Carolina,ACC,83,15,North Texas,CUSA,65,
201,17-Mar-88,1988,64,East,7,SMU,Amer,83,10,Notre Dame,ACC,75,
202,17-Mar-88,1988,64,Southeast,5,Louisville,ACC,70,12,Oregon St.,P12,61,
203,17-Mar-88,1988,64,West,6,Florida,SEC,62,11,St. John's,BE,59,
204,17-Mar-88,1988,64,Midwest,5,DePaul,BE,83,12,Wichita St.,MVC,62,
205,17-Mar-88,1988,64,West,10,Loyola Marymount,WCC,119,7,Wyoming,MWC,115,
206,18-Mar-88,1988,64,Southeast,6,Villanova,BE,82,11,Arkansas,SEC,74,
207,18-Mar-88,1988,64,West,1,Arizona,P12,90,16,Cornell,Ivy,50,
208,18-Mar-88,1988,64,Midwest,2,Pittsburgh,ACC,108,15,Eastern Michigan,MAC,90,
209,18-Mar-88,1988,64,West,5,Iowa,B10,102,12,Florida St.,ACC,98,
210,18-Mar-88,1988,64,East,13,Richmond,A10,72,4,Indiana,B10,69,
211,18-Mar-88,1988,64,East,5,Georgia Tech,ACC,90,12,Iowa St.,B12,78,
212,18-Mar-88,1988,64,East,1,Temple,Amer,87,16,Lehigh,Pat,73,
213,18-Mar-88,1988,64,East,8,Georgetown,BE,66,9,LSU,SEC,63,
214,18-Mar-88,1988,64,West,4,UNLV,MWC,54,13,Missouri St.,MVC,50,
215,18-Mar-88,1988,64,Midwest,14,Murray St.,OVC,78,3,North Carolina St.,ACC,75,
216,18-Mar-88,1988,64,Southeast,2,Kentucky,SEC,99,15,Southern,SWAC,84,
217,18-Mar-88,1988,64,Southeast,7,Maryland,B10,92,10,UC Santa Barbara,BW,82,
218,18-Mar-88,1988,64,Midwest,7,Vanderbilt,SEC,80,10,Utah St.,MWC,77,
219,18-Mar-88,1988,64,West,8,Seton Hall,BE,80,9,UTEP,CUSA,64,
220,18-Mar-88,1988,64,Southeast,3,Illinois,B10,81,14,UTSA,CUSA,72,
221,18-Mar-88,1988,64,Midwest,6,Kansas,B12,85,11,Xavier,BE,72,
222,19-Mar-88,1988,32,Southeast,1,Oklahoma,B12,107,8,Auburn,SEC,87,
223,19-Mar-88,1988,32,Southeast,5,Louisville,ACC,97,4,BYU,WCC,76,
224,19-Mar-88,1988,32,Midwest,4,Kansas St.,B12,66,5,DePaul,BE,58,
225,19-Mar-88,1988,32,West,3,Michigan,B10,108,6,Florida,SEC,85,
226,19-Mar-88,1988,32,West,2,North Carolina,ACC,123,10,Loyola Marymount,WCC,97,
227,19-Mar-88,1988,32,Midwest,1,Purdue,B10,100,9,Memphis,Amer,73,
228,19-Mar-88,1988,32,East,2,Duke,ACC,94,7,SMU,Amer,79,
229,19-Mar-88,1988,32,East,11,Rhode Island,A10,97,3,Syracuse,ACC,94,
230,20-Mar-88,1988,32,East,1,Temple,Amer,74,8,Georgetown,BE,53,
231,20-Mar-88,1988,32,East,13,Richmond,A10,59,5,Georgia Tech,ACC,55,
232,20-Mar-88,1988,32,Southeast,6,Villanova,BE,66,3,Illinois,B10,63,
233,20-Mar-88,1988,32,Southeast,2,Kentucky,SEC,90,7,Maryland,B10,81,
234,20-Mar-88,1988,32,Midwest,6,Kansas,B12,61,14,Murray St.,OVC,58,
235,20-Mar-88,1988,32,Midwest,7,Vanderbilt,SEC,80,2,Pittsburgh,ACC,74,1 OT
236,20-Mar-88,1988,32,West,1,Arizona,P12,84,8,Seton Hall,BE,55,
237,20-Mar-88,1988,32,West,5,Iowa,B10,104,4,UNLV,MWC,86,
238,24-Mar-88,1988,16,Southeast,6,Villanova,BE,80,2,Kentucky,SEC,74,
239,24-Mar-88,1988,16,Southeast,1,Oklahoma,B12,108,5,Louisville,ACC,98,
240,24-Mar-88,1988,16,East,2,Duke,ACC,73,11,Rhode Island,A10,72,
241,24-Mar-88,1988,16,East,1,Temple,Amer,69,13,Richmond,A10,47,
242,25-Mar-88,1988,16,West,1,Arizona,P12,99,5,Iowa,B10,79,
243,25-Mar-88,1988,16,West,2,North Carolina,ACC,78,3,Michigan,B10,69,
244,25-Mar-88,1988,16,Midwest,4,Kansas St.,B12,73,1,Purdue,B10,70,
245,25-Mar-88,1988,16,Midwest,6,Kansas,B12,77,7,Vanderbilt,SEC,64,
246,26-Mar-88,1988,8,East,2,Duke,ACC,63,1,Temple,Amer,53,
247,26-Mar-88,1988,8,Southeast,1,Oklahoma,B12,78,6,Villanova,BE,59,
248,27-Mar-88,1988,8,Midwest,6,Kansas,B12,71,4,Kansas St.,B12,58,
249,27-Mar-88,1988,8,West,1,Arizona,P12,70,2,North Carolina,ACC,52,
250,2-Apr-88,1988,4,Final Four,1,Oklahoma,B12,86,1,Arizona,P12,78,
251,2-Apr-88,1988,4,Final Four,6,Kansas,B12,66,2,Duke,ACC,59,
252,4-Apr-88,1988,Champ,Championship,6,Kansas,B12,83,1,Oklahoma,B12,79,
253,16-Mar-89,1989,64,Midwest,4,Louisville,ACC,76,13,Arkansas Little Rock,SB,71,
254,16-Mar-89,1989,64,Southeast,1,Oklahoma,B12,72,16,East Tennessee St.,SC,71,
255,16-Mar-89,1989,64,Southeast,13,Middle Tennessee,CUSA,97,4,Florida St.,ACC,83,
256,16-Mar-89,1989,64,West,4,UNLV,MWC,68,13,Idaho,BSky,56,
257,16-Mar-89,1989,64,East,11,Minnesota,B10,86,6,Kansas St.,B12,75,
258,16-Mar-89,1989,64,Southeast,9,Louisiana Tech,CUSA,83,8,La Salle,A10,74,
259,16-Mar-89,1989,64,Midwest,5,Arkansas,SEC,120,12,Loyola Marymount,WCC,101,
260,16-Mar-89,1989,64,Midwest,1,Illinois,B10,77,16,McNeese St.,Slnd,71,
261,16-Mar-89,1989,64,West,12,DePaul,BE,66,5,Memphis,Amer,63,
262,16-Mar-89,1989,64,Midwest,9,Ball St.,MAC,68,8,Pittsburgh,ACC,64,
263,16-Mar-89,1989,64,Southeast,5,Virginia,ACC,100,12,Providence,BE,97,
264,16-Mar-89,1989,64,West,1,Arizona,P12,94,16,Robert Morris,NEC,60,
265,16-Mar-89,1989,64,West,9,Clemson,ACC,83,8,Saint Mary's,WCC,70,
266,16-Mar-89,1989,64,East,2,Duke,ACC,90,15,South Carolina St.,MEAC,69,
267,16-Mar-89,1989,64,East,14,Siena,MAAC,80,3,Stanford,P12,78,
268,16-Mar-89,1989,64,East,7,West Virginia,B12,84,10,Tennessee,SEC,68,
269,17-Mar-89,1989,64,Southeast,11,South Alabama,SB,86,6,Alabama,SEC,84,
270,17-Mar-89,1989,64,Midwest,2,Syracuse,ACC,104,15,Bucknell,Pat,81,
271,17-Mar-89,1989,64,Midwest,3,Missouri,SEC,85,14,Creighton,BE,69,
272,17-Mar-89,1989,64,Midwest,10,Colorado St.,MWC,68,7,Florida,SEC,46,
273,17-Mar-89,1989,64,West,2,Indiana,B10,99,15,George Mason,A10,85,
274,17-Mar-89,1989,64,Midwest,11,Texas,B12,76,6,Georgia Tech,ACC,70,
275,17-Mar-89,1989,64,Southeast,7,UCLA,P12,84,10,Iowa St.,B12,74,
276,17-Mar-89,1989,64,West,7,UTEP,CUSA,85,10,LSU,SEC,74,
277,17-Mar-89,1989,64,West,3,Seton Hall,BE,60,14,Missouri St.,MVC,51,
278,17-Mar-89,1989,64,West,11,Evansville,MVC,94,6,Oregon St.,P12,90,1 OT
279,17-Mar-89,1989,64,East,1,Georgetown,BE,50,16,Princeton,Ivy,49,
280,17-Mar-89,1989,64,East,4,Iowa,B10,87,13,Rutgers,B10,73,
281,17-Mar-89,1989,64,East,5,North Carolina St.,ACC,81,12,South Carolina,SEC,66,
282,17-Mar-89,1989,64,Southeast,2,North Carolina,ACC,93,15,Southern,SWAC,79,
283,17-Mar-89,1989,64,East,9,Notre Dame,ACC,81,8,Vanderbilt,SEC,65,
284,17-Mar-89,1989,64,Southeast,3,Michigan,B10,92,14,Xavier,BE,87,
285,18-Mar-89,1989,32,Midwest,4,Louisville,ACC,93,5,Arkansas,SEC,84,
286,18-Mar-89,1989,32,Midwest,1,Illinois,B10,72,9,Ball St.,MAC,60,
287,18-Mar-89,1989,32,West,1,Arizona,P12,94,9,Clemson,ACC,68,
288,18-Mar-89,1989,32,West,4,UNLV,MWC,85,12,DePaul,BE,70,
289,18-Mar-89,1989,32,Southeast,1,Oklahoma,B12,124,9,Louisiana Tech,CUSA,81,
290,18-Mar-89,1989,32,Southeast,5,Virginia,ACC,104,13,Middle Tennessee,CUSA,88,
291,18-Mar-89,1989,32,East,11,Minnesota,B10,80,14,Siena,MAAC,67,
292,18-Mar-89,1989,32,East,2,Duke,ACC,70,7,West Virginia,B12,63,
293,19-Mar-89,1989,32,Midwest,2,Syracuse,ACC,65,10,Colorado St.,MWC,50,
294,19-Mar-89,1989,32,West,3,Seton Hall,BE,87,11,Evansville,MVC,73,
295,19-Mar-89,1989,32,East,5,North Carolina St.,ACC,102,4,Iowa,B10,96,2 OT
