"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"6040",6337,2014,"2014-01-17","Ride Along","Cube Vision","USA","PG-13","Action",25,134.9382,26,140.335728,114.335728,99,84906,6.2,"Tim Story","Ice Cube","Greg Coolidge"
"6041",6338,2014,"2015-02-12","Two Days, One Night","Les Films du Fleuve","Belgium","PG-13","Drama",0,1.436243,0,1.49369272,1.49369272,95,37159,7.4,"Jean-Pierre Dardenne","Marion Cotillard","Jean-Pierre Dardenne"
"6042",6339,2014,"2014-10-24","Laggies","Anonymous Content","USA","R","Comedy",5,0.440338,5.2,0.45795152,-4.74204848,99,34852,6.4,"Lynn Shelton","Keira Knightley","Andrea Seigel"
"6043",6340,2014,"2014-09-26","The Boxtrolls","Laika Entertainment","USA","PG","Animation",60,50.837305,62.4,52.8707972,-9.5292028,96,46486,6.8,"Graham Annable","Ben Kingsley","Irena Brignull"
"6044",6341,2014,"2014-07-15","Life After Beth","Abbolita Productions","USA","R","Comedy",2.4,0.080315,2.496,0.0835276,-2.4124724,89,15603,5.6,"Jeff Baena","Aubrey Plaza","Jeff Baena"
"6045",6342,2014,"2014-11-14","Beyond the Lights","Black Entertainment Television (BET)","USA","PG-13","Drama",7,14.618727,7.28,15.20347608,7.92347608,116,12718,6.9,"Gina Prince-Bythewood","Gugu Mbatha-Raw","Gina Prince-Bythewood"
"6046",6344,2014,"2015-04-10","Kill Me Three Times","Cargo Entertainment","USA","R","Action",0,0.02384,0,0.0247936,0.0247936,90,16116,5.9,"Kriv Stenders","Simon Pegg","James McFarland"
"6047",6345,2014,"2014-12-12","Top Five","IAC Films","USA","R","Comedy",12,25.277561,12.48,26.28866344,13.80866344,102,23426,6.4,"Chris Rock","Chris Rock","Chris Rock"
"6048",6346,2014,"2015-04-24","Just Before I Go","New Artists Alliance","USA","R","Comedy",0,0.008129,0,0.00845416,0.00845416,95,15177,6.4,"Courteney Cox","Seann William Scott","David Flebotte"
"6049",6347,2014,"2014-12-31","Cold in July","BSM Studio","USA","R","Crime",0,0.414623,0,0.43120792,0.43120792,109,28879,6.8,"Jim Mickle","Michael C. Hall","Nick Damici"
"6050",6348,2014,"2014-10-23","Una buena mentira","Alcon Entertainment","Kenya","PG-13","Drama",20,2.716989,20.8,2.82566856,-17.97433144,110,22783,7.4,"Philippe Falardeau","Reese Witherspoon","Margaret Nagle"
"6051",6350,2014,"2014-05-16","Million Dollar Arm","Walt Disney Pictures","USA","PG","Biography",25,36.447959,26,37.90587736,11.90587736,124,38459,7,"Craig Gillespie","Jon Hamm","Tom McCarthy"
"6052",6351,2014,"2014-10-17","Camp X-Ray","GNK Productions","USA","R","Drama",1,0.009837,1.04,0.01023048,-1.02976952,117,33542,7,"Peter Sattler","Kristen Stewart","Peter Sattler"
"6053",6352,2014,"2015-06-26","Big Game","Subzero Film Entertainment","UK","PG-13","Action",0,0.016909,0,0.01758536,0.01758536,90,24225,5.4,"Jalmari Helander","Samuel L. Jackson","Jalmari Helander"
"6054",6353,2014,"2014-07-25","And So It Goes","ASIG Productions","USA","PG-13","Comedy",18,15.155772,18.72,15.76200288,-2.95799712,94,10327,5.8,"Rob Reiner","Michael Douglas","Mark Andrus"
"6055",6354,2014,"2014-03-20","The Bag Man","Cinedigm","Bahamas","R","Crime",0,0.048817,0,0.05076968,0.05076968,108,14377,5.3,"David Grovic","John Cusack","David Grovic"
"6056",6355,2014,"2014-02-21","In Order of Disappearance","Paradox","Norway","R","Comedy",0,0.049284,0,0.05125536,0.05125536,116,15045,7.2,"Hans Petter Moland","Stellan Skarsgård","Kim Fupz Aakeson"
"6057",6356,2014,"2014-06-20","The Rover","Porchlight Films","Australia","R","Action",8.5,1.109199,8.84,1.15356696,-7.68643304,103,36879,6.4,"David Michôd","Guy Pearce","Joel Edgerton"
"6058",6357,2014,"2014-05-09","Moms' Night Out","Affirm Films","USA","PG","Comedy",5,10.429707,5.2,10.84689528,5.64689528,98,11445,5.4,"Andrew Erwin","Sarah Drew","Jon Erwin"
