conrinc,gunlaw,god,gender1,age
10532.5,0,3,1,32
0,2,6,1,35
34470,1,5,1,61
51705,1,6,1,57
4979,2,6,1,71
24895,1,6,2,39
5745,1,5,2,30
91920,0,6,1,42
4979,1,5,1,48
76600,2,3,1,32
0,1,5,1,42
0,0,4,1,37
8617.5,1,6,1,29
0,1,6,2,74
63195,0,6,1,47
24895,1,6,1,41
0,1,6,1,71
16277.5,1,3,1,31
24895,1,2,2,33
12447.5,0,3,1,32
24895,2,5,1,48
42130,1,3,2,50
4979,1,6,1,40
0,0,2,2,27
24895,1,6,2,35
2681,1,6,1,40
8617.5,0,6,2,33
34470,1,6,2,49
21065,0,3,1,30
4979,1,3,2,22
383,0,6,2,21
0,1,5,2,21
0,0,6,1,23
0,0,5,2,67
0,1,6,1,34
383,0,6,1,18
0,1,6,2,76
21065,0,6,1,28
0,1,5,2,84
42130,2,2,1,31
14362.5,1,6,1,25
14362.5,2,3,1,38
8617.5,0,1,2,37
0,1,6,1,66
4213,1,6,2,72
28725,0,3,1,24
18192.5,1,5,2,49
28725,0,3,1,42
24895,2,6,1,48
28725,1,6,1,39
0,0,6,2,59
0,2,2,1,63
24895,1,4,1,61
0,1,5,1,48
14362.5,0,4,2,39
24895,2,2,1,32
12447.5,1,6,1,32
21065,0,5,1,27
16277.5,1,6,2,53
0,0,4,2,88
21065,1,6,2,86
76600,1,4,2,44
21065,1,5,1,37
0,1,5,2,70
0,1,6,2,31
0,2,5,1,57
42130,1,6,1,63
42130,2,3,2,47
51705,0,6,2,41
0,1,6,1,41
0,1,6,1,42
18192.5,0,3,2,31
0,1,6,1,65
0,0,6,2,79
0,1,6,2,65
324512.2921,0,2,1,38
0,8,6,1,65
2681,1,6,1,19
324512.2921,2,6,1,58
42130,1,5,2,31
5745,1,5,1,36
0,2,6,1,29
0,1,6,2,37
42130,1,2,2,42
12447.5,1,6,2,26
16277.5,0,6,1,24
0,0,6,2,75
0,1,6,2,40
10532.5,0,5,1,30
76600,0,6,1,65
0,1,6,1,56
107240,0,1,1,40
383,2,6,1,38
10532.5,0,5,2,69
0,1,6,2,64
0,0,6,1,29
0,1,6,2,49
42130,2,6,1,32
42130,1,6,1,55
21065,0,6,1,55
0,1,6,1,83
34470,0,6,1,35
14362.5,0,6,1,42
0,1,4,2,39
1532,2,6,1,23
0,0,6,1,49
24895,1,6,2,58
63195,2,6,2,50
0,0,3,2,45
0,1,6,2,77
16277.5,2,6,1,34
10532.5,2,6,1,32
63195,2,6,2,61
0,1,6,1,69
42130,1,3,1,56
383,0,3,2,43
0,1,6,1,20
0,2,2,2,30
42130,0,3,1,57
6894,2,4,1,24
18192.5,1,3,2,57
0,0,3,2,22
5745,1,3,1,23
4979,0,3,1,50
383,1,6,2,71
0,0,6,2,25
5745,1,6,1,43
0,1,6,2,84
0,0,4,2,55
34470,1,5,1,29
8617.5,2,5,2,21
0,1,5,2,34
24895,0,2,2,34
0,1,6,2,83
0,1,6,2,77
5745,1,3,2,28
0,0,3,2,78
3447,0,3,1,61
63195,1,4,1,62
16277.5,1,2,2,40
24895,1,3,1,27
0,1,5,1,59
0,0,6,2,22
0,1,3,1,60
0,1,6,2,61
28725,1,6,2,31
63195,1,3,2,38
24895,0,6,1,26
10532.5,0,3,2,25
0,1,6,2,78
63195,1,6,1,39
28725,0,1,1,40
42130,1,5,1,52
0,1,1,1,70
0,0,3,2,36
0,1,3,1,41
0,0,6,1,58
12447.5,1,4,2,29
16277.5,0,1,1,34
0,1,5,1,84
2681,0,8,2,54
2681,2,3,1,33
12447.5,0,5,1,26
0,1,8,2,47
0,1,5,2,59
42130,1,5,1,46
0,1,6,1,88
0,1,4,2,46
0,1,3,1,23
4979,0,1,1,24
0,1,6,2,63
1532,2,2,2,67
24895,2,6,1,28
0,1,3,2,30
1532,0,2,1,19
21065,1,8,2,42
324512.2921,1,5,1,57
0,0,2,1,64
3447,1,6,1,63
2681,0,5,1,22
10532.5,1,6,1,28
28725,0,6,2,28
21065,1,6,1,51
28725,1,6,2,37
21065,0,6,2,37
14362.5,1,6,2,28
0,1,1,2,60
0,0,5,1,31
0,1,6,2,57
0,1,6,1,99
34470,1,2,1,30
0,1,6,1,51
34470,2,6,1,31
0,1,2,1,56
51705,2,6,1,49
0,0,5,2,19
34470,1,6,1,48
8617.5,0,3,1,33
34470,2,6,2,46
21065,0,3,2,31
0,2,2,1,35
8617.5,1,6,1,42
0,1,6,1,30
0,1,5,1,38
28725,1,6,2,52
0,1,6,1,49
0,0,6,1,62
5745,1,6,1,54
0,8,6,2,38
14362.5,0,6,2,30
16277.5,1,5,1,53
21065,1,1,1,40
0,0,2,1,67
0,2,6,1,78
0,0,5,2,66
10532.5,1,5,1,57
42130,0,6,2,42
42130,1,3,1,32
5745,1,4,1,20
28725,0,6,1,61
0,1,6,1,55
0,2,2,1,23
10532.5,0,6,1,33
0,1,6,1,62
0,0,6,1,59
0,1,5,1,62
8617.5,0,6,1,65
24895,1,6,2,30
16277.5,1,6,2,32
0,0,6,1,40
6894,0,6,2,25
76600,1,2,1,53
0,1,3,2,72
34470,2,6,1,26
34470,0,3,2,33
0,0,6,1,65
0,1,6,1,40
28725,0,4,1,32
0,0,6,1,52
21065,2,6,1,50
0,0,6,1,70
0,1,6,2,73
51705,2,6,2,53
0,0,6,2,72
76600,2,3,1,66
0,0,6,1,89
0,1,6,1,63
0,0,6,1,26
5745,1,6,1,43
21065,0,6,2,56
0,1,3,1,69
34470,1,6,1,27
0,1,6,1,43
0,0,6,2,82
21065,1,6,1,53
21065,1,6,1,39
34470,0,6,1,51
0,0,6,1,63
34470,0,6,2,43
21065,1,6,2,38
0,1,6,1,41
0,2,6,2,68
10532.5,0,6,2,23
0,1,3,1,77
0,0,6,1,30
1532,1,6,1,27
1532,1,6,1,49
0,2,6,1,36
0,2,6,1,67
0,1,4,1,70
10532.5,1,6,1,43
10532.5,1,6,2,58
16277.5,0,6,2,35
8617.5,0,6,2,27
2681,2,6,2,32
18192.5,1,6,2,40
383,0,6,2,54
0,1,6,2,73
0,2,6,2,55
5745,0,6,2,23
18192.5,2,6,2,21
0,0,6,2,20
10532.5,1,5,2,47
42130,1,6,1,62
0,0,1,1,31
0,0,6,1,64
0,0,6,2,52
0,1,5,1,83
16277.5,1,3,1,56
42130,0,6,2,30
18192.5,1,6,1,61
0,0,6,1,75
0,1,2,1,73
0,2,2,1,68
0,1,6,1,69
16277.5,0,6,1,52
0,1,6,2,59
0,0,6,1,39
0,1,6,2,57
0,2,6,2,63
0,1,6,1,29
0,0,6,1,19
14362.5,1,5,1,30
18192.5,1,6,2,38
0,0,6,1,28
0,0,6,2,41
34470,1,6,1,56
0,0,5,1,24
0,8,6,2,58
0,8,6,1,28
0,2,6,1,55
24895,1,6,2,41
18192.5,1,5,1,29
0,1,6,1,65
0,1,6,2,64
34470,1,5,2,41
383,1,6,2,39
34470,1,5,1,29
34470,1,6,2,54
42130,1,3,2,47
16277.5,1,6,1,44
383,0,6,2,24
8617.5,0,8,1,33
0,1,2,1,60
324512.2921,1,3,1,60
107240,0,6,1,53
4213,1,3,1,19
0,1,6,2,46
0,1,9,1,84
12447.5,0,6,1,37
0,2,3,2,35
0,2,6,2,60
16277.5,1,6,2,46
12447.5,0,6,1,26
8617.5,8,6,1,31
0,1,5,2,67
0,1,6,1,67
0,2,5,1,88
42130,0,5,1,40
0,1,6,2,70
0,0,6,1,44
42130,1,6,1,39
0,2,3,1,65
8617.5,1,6,2,33
0,0,6,1,63
24895,2,6,1,31
5745,1,6,2,23
0,1,6,2,71
21065,0,5,1,32
34470,1,6,2,52
0,1,6,2,77
63195,0,6,1,63
34470,0,8,1,42
0,1,5,1,52
0,1,6,1,70
4979,8,5,2,23
0,2,6,1,84
24895,1,5,1,30
0,0,9,1,59
0,0,6,1,61
8617.5,1,6,1,37
51705,1,5,1,41
0,0,6,2,55
0,1,3,2,31
383,0,3,1,21
18192.5,1,5,2,28
28725,2,6,1,35
324512.2921,0,6,1,52
4979,0,6,1,63
8617.5,1,6,2,46
28725,0,6,1,64
0,1,6,1,29
63195,0,6,1,41
0,1,6,2,60
0,0,6,1,38
0,2,6,2,81
0,0,5,2,52
0,9,6,1,62
24895,0,6,1,46
3447,2,5,1,27
63195,1,6,1,43
14362.5,0,6,2,48
0,1,6,2,37
0,2,5,1,55
2681,2,6,1,19
0,0,6,2,59
0,0,6,2,37
0,1,6,2,99
42130,2,6,2,37
