conrinc,gunlaw,god,age,gender1
16277.5,1,5,47,1
0,1,6,20,2
0,0,6,44,1
24895,2,6,24,1
0,0,6,49,1
63195,0,6,67,2
24895,0,6,48,1
4979,1,6,47,2
8617.5,1,6,75,1
0,1,6,76,1
34470,1,6,51,1
34470,1,1,37,1
63195,0,6,43,2
0,2,6,22,2
24895,2,6,41,1
6894,2,6,24,2
14362.5,1,5,43,1
18192.5,1,6,66,2
14362.5,2,6,47,1
34470,2,6,50,1
0,1,6,57,1
21065,1,3,56,1
383,0,4,22,1
76600,1,3,61,1
0,0,2,26,1
28725,2,6,42,2
0,1,9,87,2
51705,1,5,32,2
324512.2921,2,6,42,1
0,0,6,89,2
63195,1,6,55,2
0,1,3,38,1
0,2,5,62,1
91920,2,6,51,1
0,1,3,27,1
34470,0,5,36,1
28725,2,6,34,2
14362.5,1,2,36,1
14362.5,1,5,29,1
0,0,1,42,1
63195,1,6,51,1
18192.5,1,6,25,1
0,1,6,81,2
5745,2,6,22,1
34470,0,5,45,1
0,2,3,61,2
8617.5,1,4,79,1
0,1,6,63,1
76600,0,6,60,1
0,2,6,54,2
0,0,6,56,1
383,2,6,21,1
0,1,6,67,1
28725,1,4,61,1
8617.5,1,5,51,1
0,0,6,72,2
1532,8,6,63,1
0,0,6,78,1
51705,0,6,45,1
0,1,6,48,2
0,0,6,79,1
0,2,6,30,1
0,1,6,32,1
0,1,3,30,2
28725,2,6,44,2
8617.5,0,5,42,2
0,1,3,64,1
21065,1,5,42,1
0,1,6,42,1
76600,1,6,46,1
0,1,5,26,1
0,1,5,63,2
14362.5,0,6,45,2
34470,1,6,33,2
4213,0,6,27,2
51705,2,5,50,2
16277.5,1,5,68,1
18192.5,0,6,55,2
8617.5,1,6,58,2
2681,0,6,19,2
0,1,6,42,1
1532,1,5,38,1
0,0,6,63,1
16277.5,0,5,27,1
0,2,6,71,2
51705,1,5,38,2
0,0,6,77,1
21065,1,6,48,1
0,0,6,74,2
16277.5,1,6,56,1
16277.5,0,2,23,2
