"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"4087",2004,"2004-11-24","Christmas with the Kranks","Revolution Studios","USA","PG","Comedy",6e+07,73780539,78600000,96652506.09,18052506.09,99,30985,5.2,"Joe Roth","Tim Allen","John Grisham"
"4088",2004,"2004-11-12","After the Sunset","New Line Cinema","USA","PG-13","Action",5.8e+07,28328132,75980000,37109852.92,-38870147.08,97,40092,6.3,"Brett Ratner","Pierce Brosnan","Paul Zbyszewski"
"4089",2004,"2004-01-16","Torque","Warner Bros.","USA","PG-13","Action",4e+07,21215059,52400000,27791727.29,-24608272.71,84,24682,4,"Joseph Kahn","Martin Henderson","Matt Johnson"
"4090",2004,"2006-03-10","The Libertine","The Weinstein Company","UK","R","Drama",0,4835065,0,6333935.15,6333935.15,114,32405,6.4,"Laurence Dunmore","Johnny Depp","Stephen Jeffreys"
"4091",2004,"2004-12-29","Beyond the Sea","Lions Gate Films","UK","PG-13","Biography",2.3e+07,6318709,30130000,8277508.79,-21852491.21,118,13453,6.7,"Kevin Spacey","Kevin Spacey","Kevin Spacey"
"4093",2004,"2004-05-07","New York Minute","Warner Bros.","USA","PG","Comedy",3e+07,14018364,39300000,18364056.84,-20935943.16,100,18830,4.9,"Dennie Gordon","Mary-Kate Olsen","Emily Fox"
"4094",2004,"2004-09-24","First Daughter","Regency Enterprises","USA","PG","Comedy",3e+07,9055010,39300000,11862063.1,-27437936.9,100,18324,5,"Forest Whitaker","Katie Holmes","Jessica Bendinger"
"4095",2004,"2005-02-18","The Merchant of Venice","Movision","USA","R","Drama",1.8e+07,3765585,23580000,4932916.35,-18647083.65,131,31158,7.1,"Michael Radford","Al Pacino","William Shakespeare"
"4096",2004,"2004-10-29","Birth","New Line Cinema","UK","R","Drama",2e+07,5005883,26200000,6557706.73,-19642293.27,100,31210,6.1,"Jonathan Glazer","Nicole Kidman","Jean-Claude Carrière"
"4098",2004,"2004-11-05","Alfie","Paramount Pictures","UK","R","Comedy",6e+07,13399812,78600000,17553753.72,-61046246.28,103,45684,6.2,"Charles Shyer","Jude Law","Bill Naughton"
"4099",2004,"2005-07-01","My Summer of Love","Apocalypso Pictures","UK","R","Drama",0,992238,0,1299831.78,1299831.78,86,17239,6.8,"Pawel Pawlikowski","Natalie Press","Helen Cross"
"4100",2004,"2005-03-11","Bride & Prejudice","Pathé Pictures International","UK","PG-13","Comedy",7e+06,6601079,9170000,8647413.49,-522586.51,111,18188,6.2,"Gurinder Chadha","Martin Henderson","Jane Austen"
"4101",2004,"2004-01-30","The Big Bounce","Shangri-La Entertainment","USA","PG-13","Comedy",5e+07,6471394,65500000,8477526.14,-57022473.86,88,16502,4.9,"George Armitage","Owen Wilson","Elmore Leonard"
"4102",2004,"2004-03-12","Agent Cody Banks 2: Destination London","Dylan Sellers Productions","USA","PG","Action",2.6e+07,23222861,34060000,30421947.91,-3638052.09,100,12029,4.5,"Kevin Allen","Frankie Muniz","Jeffrey Jurgensen"
"4103",2004,"2004-10-15","The Final Cut","Lions Gate Entertainment","USA","PG-13","Action",0,548039,0,717931.09,717931.09,95,28056,6.2,"Omar Naim","Robin Williams","Omar Naim"
"4104",2004,"2004-10-15","Shall We Dance","Miramax","USA","PG-13","Comedy",5e+07,57890460,65500000,75836502.6,10336502.6,106,37878,6.1,"Peter Chelsom","Richard Gere","Masayuki Suo"
"4105",2004,"2004-04-09","The Alamo","Touchstone Pictures","USA","PG-13","Drama",1.07e+08,22414961,140170000,29363598.91,-110806401.09,137,17664,6,"John Lee Hancock","Dennis Quaid","Leslie Bohem"
