"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"4161",2004,"2004-02-19","Highwaymen","New Line Cinema","USA","R","Action",0,367027,0,480805.37,480805.37,80,7657,5.7,"Robert Harmon","Jim Caviezel","Craig Mitchell"
"4162",2004,"2007-05-25","Saint Ralph","Alliance Atlantis Communications","Canada","PG-13","Comedy",0,795126,0,1041615.06,1041615.06,98,5291,7.6,"Michael McGowan","Adam Butcher","Michael McGowan"
"4163",2004,"2004-10-15","Rory O'Shea Was Here","WT2 Productions","UK","R","Comedy",0,21864,0,28641.84,28641.84,104,12466,7.9,"Damien O'Donnell","James McAvoy","Jeffrey Caine"
"4164",2004,"2004-02-06","Barbershop 2: Back in Business","Metro-Goldwyn-Mayer (MGM)","USA","PG-13","Comedy",1.8e+07,65111277,23580000,85295772.87,61715772.87,106,11281,5.7,"Kevin Rodney Sullivan","Ice Cube","Mark Brown"
"4165",2004,"2005-02-18","Julia, una mujer seductora","Serendipity Point Films","Canada","R","Comedy",1.8e+07,7739049,23580000,10138154.19,-13441845.81,104,11052,7,"István Szabó","Annette Bening","W. Somerset Maugham"
"4166",2004,"2005-02-23","Turtles Can Fly","Mij Film Co.","Iran","PG-13","Drama",0,256822,0,336436.82,336436.82,98,14720,8.1,"Bahman Ghobadi","Soran Ebrahim","Bahman Ghobadi"
"4167",2004,"2004-09-03","We Don't Live Here Anymore","Front Street Pictures","USA","R","Drama",3e+06,2037545,3930000,2669183.95,-1260816.05,101,8531,6.3,"John Curran","Mark Ruffalo","Andre Dubus"
"4168",2004,"2005-05-13","A Good Woman","Beyond Films","UK","PG","Drama",0,223144,0,292318.64,292318.64,93,10196,6.5,"Mike Barker","Helen Hunt","Oscar Wilde"
"4169",2004,"2004-12-03","Eros","Jet Tone Films","USA","R","Drama",0,188248,0,246604.88,246604.88,104,5387,6,"Michelangelo Antonioni","Li Gong","Kar-Wai Wong"
"4170",2004,"2006-04-07","3-Iron","Kim Ki-Duk Film","South Korea","R","Crime",1e+06,238507,1310000,312444.17,-997555.83,88,41640,8.1,"Ki-duk Kim","Seung-yeon Lee","Ki-duk Kim"
"4171",2004,"2004-09-17","Mr 3000","Touchstone Pictures","USA","PG-13","Comedy",3e+07,21800302,39300000,28558395.62,-10741604.38,104,12740,5.5,"Charles Stone III","Bernie Mac","Eric Champnella"
"4173",2004,"2004-10-29","Stage Beauty","Lions Gate Films","UK","R","Drama",0,776691,0,1017465.21,1017465.21,106,9141,7.2,"Richard Eyre","Billy Crudup","Jeffrey Hatcher"
"4175",2004,"2004-09-29","Modigliani","Lucky 7 Productions LLC","UK","R","Biography",1.2e+07,195378,15720000,255945.18,-15464054.82,128,9098,7.4,"Mick Davis","Andy Garcia","Mick Davis"
"4176",2004,"2004-10-22","Surviving Christmas","DreamWorks","USA","PG-13","Comedy",4.5e+07,11663156,58950000,15278734.36,-43671265.64,91,18771,5.3,"Mike Mitchell","Ben Affleck","Deborah Kaplan"
"4177",2004,"2004-04-16","Connie and Carla","Universal Pictures","USA","PG-13","Comedy",2e+07,8054280,26200000,10551106.8,-15648893.2,108,7171,6.3,"Michael Lembeck","Nia Vardalos","Nia Vardalos"
"4178",2004,"2005-03-18","Steamboy","Bandai Visual Company","Japan","PG-13","Animation",0,410388,0,537608.28,537608.28,126,14575,6.9,"Katsuhiro Ôtomo","Anna Paquin","Sadayuki Murai"
"4179",2004,"2004-10-14","A Home at the End of the World","Hart-Sharp Entertainment","USA","R","Drama",6500000,1029872,8515000,1349132.32,-7165867.68,97,12420,6.8,"Michael Mayer","Colin Farrell","Michael Cunningham"
"4180",2004,"2004-08-13","Yu-Gi-Oh!: The Movie","4 Kids Entertainment","Japan","PG","Animation",2e+07,19762690,26200000,25889123.9,-310876.099999998,100,6776,4.6,"Hatsuki Tsuji","Dan Green","Masahiro Hikokubo"
"4181",2005,"2005-11-23","Rent","Rent Productions LLC","USA","PG-13","Drama",4e+07,29077547,50800000,36928484.69,-13871515.31,135,43683,7,"Chris Columbus","Taye Diggs","Stephen Chbosky"
"4182",2005,"2005-07-15","Charlie and the Chocolate Factory","Warner Bros.","USA","PG","Adventure",1.5e+08,206459076,190500000,262203026.52,71703026.52,115,350762,6.7,"Tim Burton","Johnny Depp","Roald Dahl"
"4183",2005,"2005-11-18","Harry Potter and the Goblet of Fire","Warner Bros.","UK","PG-13","Adventure",1.5e+08,290013036,190500000,368316555.72,177816555.72,157,429209,7.7,"Mike Newell","Daniel Radcliffe","Steve Kloves"
"4184",2005,"2005-06-15","Batman Begins","Warner Bros.","USA","PG-13","Action",1.5e+08,206852432,190500000,262702588.64,72202588.64,152,1075968,8.3,"Christopher Nolan","Christian Bale","Bob Kane"
"4185",2005,"2005-09-30","Serenity","Universal Pictures","USA","PG-13","Action",4e+07,25514517,50800000,32403436.59,-18396563.41,119,255155,7.9,"Joss Whedon","Nathan Fillion","Joss Whedon"
"4186",2005,"2006-03-17","V for Vendetta","Warner Bros.","USA","R","Action",5.4e+07,70511035,68580000,89549014.45,20969014.45,132,867117,8.2,"James McTeigue","Hugo Weaving","Lilly Wachowski"
"4187",2005,"2005-04-01","Sin City","Dimension Films","USA","R","Crime",4e+07,74103820,50800000,94111851.4,43311851.4,124,690034,8,"Frank Miller","Mickey Rourke","Frank Miller"
"4188",2005,"2005-11-23","Pride & Prejudice","Focus Features","France","PG","Drama",2.8e+07,38405088,35560000,48774461.76,13214461.76,129,209548,7.8,"Joe Wright","Keira Knightley","Jane Austen"
"4189",2005,"2005-04-29","The Hitchhiker's Guide to the Galaxy","Touchstone Pictures","UK","PG","Adventure",5e+07,51085416,63500000,64878478.32,1378478.32,109,165212,6.8,"Garth Jennings","Martin Freeman","Douglas Adams"
"4190",2005,"2006-01-13","Brokeback Mountain","Focus Features","USA","R","Drama",1.4e+07,83043761,17780000,105465576.47,87685576.47,134,276758,7.7,"Ang Lee","Jake Gyllenhaal","Annie Proulx"
"4191",2005,"2005-07-15","Wedding Crashers","New Line Cinema","USA","R","Comedy",4e+07,209218368,50800000,265707327.36,214907327.36,119,295346,7,"David Dobkin","Owen Wilson","Steve Faber"
"4192",2005,"2005-12-09","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Walt Disney Pictures","USA","PG","Adventure",1.8e+08,291709845,228600000,370471503.15,141871503.15,143,310549,6.9,"Andrew Adamson","Tilda Swinton","Ann Peacock"
"4193",2005,"2005-05-27","The Longest Yard","Paramount Pictures","USA","PG-13","Comedy",8.2e+07,158119460,104140000,200811714.2,96671714.2,113,139788,6.4,"Peter Segal","Adam Sandler","Albert S. Ruddy"
"4194",2005,"2006-01-06","Hostel","Hostel LLC","USA","R","Horror",4800000,47326473,6096000,60104620.71,54008620.71,94,147832,5.9,"Eli Roth","Jay Hernandez","Eli Roth"
"4195",2005,"2005-05-06","Kingdom of Heaven","Twentieth Century Fox Film Corporation","USA","R","Action",1.3e+08,47398413,165100000,60195984.51,-104904015.49,144,232742,7.2,"Ridley Scott","Orlando Bloom","William Monahan"
"4196",2005,"2005-05-19","Star Wars: Episode III - Revenge of the Sith","Lucasfilm","USA","PG-13","Action",1.13e+08,380262555,143510000,482933444.85,339423444.85,140,570398,7.6,"George Lucas","Hayden Christensen","George Lucas"
"4197",2005,"2005-06-29","War of the Worlds","Paramount Pictures","USA","PG-13","Adventure",1.32e+08,234280354,167640000,297536049.58,129896049.58,116,357995,6.5,"Steven Spielberg","Tom Cruise","Josh Friedman"
"4198",2005,"2005-02-18","Constantine","Warner Bros.","USA","R","Drama",1e+08,75976178,1.27e+08,96489746.06,-30510253.94,121,253723,6.9,"Francis Lawrence","Keanu Reeves","Jamie Delano"
"4199",2005,"2005-01-14","Elektra","Twentieth Century Fox Film Corporation","Canada","PG-13","Action",4.3e+07,24409722,54610000,31000346.94,-23609653.06,97,75843,4.8,"Rob Bowman","Jennifer Garner","Mark Steven Johnson"
"4200",2005,"2005-11-18","Walk the Line","Fox 2000 Pictures","USA","PG-13","Biography",2.8e+07,119519402,35560000,151789640.54,116229640.54,136,198923,7.9,"James Mangold","Joaquin Phoenix","Johnny Cash"
"4201",2005,"2006-08-04","The Descent","Celador Films","UK","R","Adventure",0,26024456,0,33051059.12,33051059.12,99,167959,7.2,"Neil Marshall","Shauna Macdonald","Neil Marshall"
"4202",2005,"2005-04-15","The Amityville Horror","Metro-Goldwyn-Mayer (MGM)","USA","R","Drama",1.9e+07,65233369,24130000,82846378.63,58716378.63,90,91483,6,"Andrew Douglas","Ryan Reynolds","Scott Kosar"
"4203",2005,"2005-02-11","Hitch","Columbia Pictures Corporation","USA","PG-13","Comedy",7e+07,179495555,88900000,227959354.85,139059354.85,118,259673,6.6,"Andy Tennant","Will Smith","Kevin Bisch"
"4204",2005,"2005-12-14","King Kong","Universal Pictures","New Zealand","PG-13","Action",2.07e+08,218080025,262890000,276961631.75,14071631.75,187,340976,7.2,"Peter Jackson","Naomi Watts","Fran Walsh"
"4205",2005,"2005-08-19","The 40-Year-Old Virgin","Universal Pictures","USA","R","Comedy",2.6e+07,109449237,33020000,139000530.99,105980530.99,116,334507,7.1,"Judd Apatow","Steve Carell","Judd Apatow"
"4206",2005,"2005-06-10","Mr. & Mrs. Smith","Regency Enterprises","USA","PG-13","Action",1.2e+08,186336279,152400000,236647074.33,84247074.33,120,379073,6.5,"Doug Liman","Brad Pitt","Simon Kinberg"
"4207",2005,"2005-10-28","Saw II","Twisted Pictures","USA","R","Horror",4e+06,87039965,5080000,110540755.55,105460755.55,93,201006,6.6,"Darren Lynn Bousman","Donnie Wahlberg","Leigh Whannell"
"4208",2005,"2005-12-16","The Squid and the Whale","Samuel Goldwyn Films","USA","R","Comedy",1500000,7362100,1905000,9349867,7444867,81,64252,7.4,"Noah Baumbach","Owen Kline","Noah Baumbach"
"4209",2005,"2005-07-22","The Devil's Rejects","Lions Gate Films","USA","R","Crime",7e+06,17044981,8890000,21647125.87,12757125.87,107,80744,6.9,"Rob Zombie","Sid Haig","Rob Zombie"
"4210",2005,"2005-09-23","Corpse Bride","Warner Bros.","USA","PG","Animation",4e+07,53359111,50800000,67766070.97,16966070.97,77,205383,7.4,"Tim Burton","Johnny Depp","Tim Burton"
"4211",2005,"2005-07-29","Sky High","Walt Disney Pictures","USA","PG","Adventure",3.5e+07,63946815,44450000,81212455.05,36762455.05,100,66438,6.2,"Mike Mitchell","Kurt Russell","Paul Hernandez"
"4212",2005,"2005-07-22","The Island","DreamWorks","USA","PG-13","Action",1.26e+08,35818913,160020000,45490019.51,-114529980.49,136,275721,6.9,"Michael Bay","Scarlett Johansson","Caspian Tredwell-Owen"
"4213",2005,"2005-02-04","The Wedding Date","Gold Circle Films","USA","PG-13","Comedy",1.5e+07,31726995,19050000,40293283.65,21243283.65,90,41497,6.1,"Clare Kilner","Dermot Mulroney","Elizabeth Young"
"4214",2005,"2005-11-25","Green Street Hooligans","Baker Street","USA","R","Crime",0,344095,0,437000.65,437000.65,109,125881,7.5,"Lexi Alexander","Elijah Wood","Lexi Alexander"
"4215",2005,"2005-06-03","Cinderella Man","Universal Pictures","USA","PG-13","Biography",8.8e+07,61649911,111760000,78295386.97,-33464613.03,144,156991,8,"Ron Howard","Russell Crowe","Cliff Hollingsworth"
"4216",2005,"2005-11-04","Jarhead","Universal Pictures","USA","R","Action",7.2e+07,62658220,91440000,79575939.4,-11864060.6,125,152251,7,"Sam Mendes","Jake Gyllenhaal","William Broyles Jr."
"4217",2005,"2006-01-06","Munich","DreamWorks","France","R","Crime",7e+07,47403685,88900000,60202679.95,-28697320.05,164,186355,7.6,"Steven Spielberg","Eric Bana","Tony Kushner"
"4218",2005,"2005-03-04","Be Cool","Metro-Goldwyn-Mayer (MGM)","USA","PG-13","Comedy",5.3e+07,56046979,67310000,71179663.33,3869663.33,118,61786,5.7,"F. Gary Gray","John Travolta","Elmore Leonard"
"4219",2005,"2005-03-11","Hostage","Miramax","USA","R","Action",5.2e+07,34639939,66040000,43992722.53,-22047277.47,113,97552,6.6,"Florent-Emilio Siri","Bruce Willis","Robert Crais"
"4220",2005,"2005-09-30","A History of Violence","New Line Cinema","USA","R","Crime",3.2e+07,31493782,40640000,39997103.14,-642896.859999999,96,198947,7.5,"David Cronenberg","Viggo Mortensen","John Wagner"
"4221",2005,"2005-07-08","Fantastic Four","Twentieth Century Fox Film Corporation","USA","PG-13","Action",1e+08,154696080,1.27e+08,196464021.6,69464021.6,106,280250,5.7,"Tim Story","Ioan Gruffudd","Mark Frost"
"4222",2005,"2006-01-20","Match Point","BBC Films","UK","R","Drama",1.5e+07,23089926,19050000,29324206.02,10274206.02,124,178918,7.7,"Woody Allen","Scarlett Johansson","Woody Allen"
"4223",2005,"2005-11-11","Zathura: A Space Adventure","Columbia Pictures Corporation","USA","PG","Action",6.5e+07,29258869,82550000,37158763.63,-45391236.37,101,74238,6.1,"Jon Favreau","Josh Hutcherson","Chris Van Allsburg"
"4224",2005,"2006-01-27","Nanny McPhee","Universal Pictures","USA","PG","Comedy",2.5e+07,47144110,31750000,59873019.7,28123019.7,97,55077,6.6,"Kirk Jones","Emma Thompson","Emma Thompson"
"4225",2005,"2005-05-27","Madagascar","DreamWorks Animation","USA","PG","Animation",7.5e+07,193595521,95250000,245866311.67,150616311.67,86,294387,6.9,"Eric Darnell","Chris Rock","Mark Burton"
"4226",2005,"2005-08-05","The Dukes of Hazzard","Warner Bros.","USA","PG-13","Action",5e+07,80270227,63500000,101943188.29,38443188.29,104,68938,5.1,"Jay Chandrasekhar","Seann William Scott","John O'Brien"
"4227",2005,"2005-09-16","Lord of War","Entertainment Manufacturing Company","USA","R","Crime",5e+07,24149632,63500000,30670032.64,-32829967.36,122,261701,7.6,"Andrew Niccol","Nicolas Cage","Andrew Niccol"
"4228",2005,"2006-04-28","Hard Candy","Lions Gate Films","USA","R","Crime",950000,1007962,1206500,1280111.74,73611.74,104,138885,7.1,"David Slade","Patrick Wilson","Brian Nelson"
"4229",2005,"2005-09-23","Flightplan","Touchstone Pictures","USA","PG-13","Drama",5.5e+07,89707299,69850000,113928269.73,44078269.73,98,134241,6.2,"Robert Schwentke","Jodie Foster","Peter A. Dowling"
"4230",2005,"2005-12-23","Memoirs of a Geisha","Columbia Pictures Corporation","USA","PG-13","Drama",8.5e+07,57490508,107950000,73012945.16,-34937054.84,145,124833,7.4,"Rob Marshall","Ziyi Zhang","Robin Swicord"
"4231",2005,"2005-09-09","The Exorcism of Emily Rose","Screen Gems","USA","PG-13","Drama",2e+07,75072454,25400000,95342016.58,69942016.58,119,103356,6.7,"Scott Derrickson","Laura Linney","Paul Harris Boardman"
"4232",2005,"2006-01-20","The New World","New Line Cinema","USA","PG-13","Biography",3e+07,12712093,38100000,16144358.11,-21955641.89,135,74644,6.7,"Terrence Malick","Colin Farrell","Terrence Malick"
"4233",2005,"2005-05-06","La casa de cera","Warner Bros.","Australia","R","Horror",3e+07,32064800,38100000,40722296,2622296,108,100354,5.3,"Jaume Collet-Serra","Chad Michael Murray","Charles Belden"
"4234",2005,"2005-12-21","Cheaper by the Dozen 2","Twentieth Century Fox Film Corporation","USA","PG","Adventure",6e+07,82571173,76200000,104865389.71,28665389.71,94,46237,5.5,"Adam Shankman","Steve Martin","Sam Harper"
"4235",2005,"2005-08-12","Four Brothers","Paramount Pictures","USA","R","Action",4.5e+07,74494381,57150000,94607863.87,37457863.87,109,117043,6.9,"John Singleton","Mark Wahlberg","David Elliot"
"4236",2005,"2005-06-10","The Adventures of Sharkboy and Lavagirl 3-D","Dimension Films","USA","PG","Action",5e+07,39177684,63500000,49755658.68,-13744341.32,93,22677,3.5,"Robert Rodriguez","Cayden Boyd","Robert Rodriguez"
"4237",2005,"2005-11-18","Kiss Kiss Bang Bang","Warner Bros.","USA","R","Comedy",1.5e+07,4243756,19050000,5389570.12,-13660429.88,103,188313,7.6,"Shane Black","Robert Downey Jr.","Brett Halliday"
"4238",2005,"2005-10-07","Waiting...","Eden Rock Media","USA","R","Comedy",3e+06,16124543,3810000,20478169.61,16668169.61,94,79505,6.8,"Rob McKittrick","Ryan Reynolds","Rob McKittrick"
"4239",2005,"2005-08-26","The Brothers Grimm","Dimension Films","USA","PG-13","Adventure",8.8e+07,37916267,111760000,48153659.09,-63606340.91,118,103728,5.9,"Terry Gilliam","Matt Damon","Ehren Kruger"
"4240",2005,"2005-12-02","Æon Flux","Paramount Pictures","USA","PG-13","Action",6.2e+07,25857987,78740000,32839643.49,-45900356.51,93,114477,5.5,"Karyn Kusama","Charlize Theron","Phil Hay"
"4241",2005,"2005-06-01","The Sisterhood of the Traveling Pants","Alcon Entertainment","USA","PG","Comedy",2.5e+07,39008741,31750000,49541101.07,17791101.07,119,47742,6.5,"Ken Kwapis","Amber Tamblyn","Ann Brashares"
"4242",2005,"2005-04-29","xXx: State of the Union","Columbia Pictures Corporation","USA","PG-13","Action",6e+07,26873932,76200000,34129893.64,-42070106.36,101,58727,4.4,"Lee Tamahori","Ice Cube","Rich Wilkes"
"4243",2005,"2006-01-06","Casanova","Touchstone Pictures","USA","R","Adventure",0,11294832,0,14344436.64,14344436.64,112,46586,6.5,"Lasse Hallström","Heath Ledger","Jeffrey Hatcher"
"4244",2005,"2005-08-19","Red Eye","DreamWorks","USA","PG-13","Mystery",2.6e+07,57891803,33020000,73522589.81,40502589.81,85,99003,6.5,"Wes Craven","Rachel McAdams","Carl Ellsworth"
"4245",2005,"2005-03-11","Robots","Twentieth Century Fox Animation","USA","PG","Animation",7.5e+07,128200012,95250000,162814015.24,67564015.24,91,111639,6.3,"Chris Wedge","Ewan McGregor","Ron Mita"
"4246",2005,"2005-11-23","Just Friends","Inferno Distribution","Germany","PG-13","Comedy",0,32619671,0,41426982.17,41426982.17,96,88269,6.2,"Roger Kumble","Ryan Reynolds","Adam 'Tex' Davis"
"4247",2005,"2005-09-16","Just Like Heaven","DreamWorks","USA","PG-13","Comedy",5.8e+07,48318130,73660000,61364025.1,-12295974.9,95,87397,6.7,"Mark Waters","Reese Witherspoon","Peter Tolan"
"4248",2005,"2006-04-14","Brick","Bergman Lustig Productions","USA","R","Action",475000,2060589,603250,2616948.03,2013698.03,110,89353,7.4,"Rian Johnson","Joseph Gordon-Levitt","Rian Johnson"
"4249",2005,"2005-10-28","The Legend of Zorro","Columbia Pictures","USA","PG","Action",7.5e+07,46464023,95250000,59009309.21,-36240690.79,129,77748,5.9,"Martin Campbell","Antonio Banderas","Roberto Orci"
"4250",2005,"2005-01-14","Coach Carter","Coach Carter","USA","PG-13","Biography",3e+07,67264877,38100000,85426393.79,47326393.79,136,100602,7.3,"Thomas Carter","Samuel L. Jackson","Mark Schwahn"
"4251",2005,"2005-06-22","Herbie Fully Loaded","Walt Disney Pictures","USA","G","Adventure",5e+07,66023816,63500000,83850246.32,20350246.32,101,38998,4.8,"Angela Robinson","Lindsay Lohan","Thomas Lennon"
"4252",2005,"2005-12-25","Rumor Has It...","Warner Bros.","USA","PG-13","Comedy",7e+07,43000262,88900000,54610332.74,-34289667.26,97,43996,5.5,"Rob Reiner","Jennifer Aniston","Ted Griffin"
"4253",2005,"2005-03-04","The Pacifier","Walt Disney Pictures","Canada","PG","Action",5.6e+07,113086868,71120000,143620322.36,72500322.36,95,72886,5.6,"Adam Shankman","Vin Diesel","Thomas Lennon"
"4254",2005,"2005-01-28","Hide and Seek","Twentieth Century Fox Film Corporation","USA","R","Drama",3e+07,51100486,38100000,64897617.22,26797617.22,101,73932,5.9,"John Polson","Robert De Niro","Ari Schlossberg"
"4255",2005,"2005-12-25","Wolf Creek","Australian Film Finance Corporation, The","Australia","R","Horror",1e+06,16188180,1270000,20558988.6,19288988.6,99,59341,6.3,"Greg McLean","Nathan Phillips","Greg McLean"
"4256",2005,"2005-11-04","Chicken Little","Walt Disney Pictures","USA","G","Animation",1.5e+08,135386665,190500000,171941064.55,-18558935.45,81,70253,5.8,"Mark Dindal","Zach Braff","Mark Dindal"
"4257",2005,"2005-06-03","Lords of Dogtown","Columbia Pictures Corporation","USA","PG-13","Biography",2.5e+07,11008432,31750000,13980708.64,-17769291.36,107,46416,7.1,"Catherine Hardwicke","Heath Ledger","Stacy Peralta"
"4258",2005,"2005-11-11","Derailed","Di Bonaventura Pictures","USA","R","Crime",2.2e+07,36024076,27940000,45750576.52,17810576.52,108,65085,6.6,"Mikael Håfström","Clive Owen","Stuart Beattie"
"4259",2005,"2005-08-12","The Skeleton Key","Universal Pictures","USA","PG-13","Horror",4.3e+07,47806295,54610000,60713994.65,6103994.65,104,93583,6.5,"Iain Softley","Kate Hudson","Ehren Kruger"
"4260",2005,"2005-09-30","Into the Blue","Columbia Pictures Corporation","USA","PG-13","Action",5e+07,18472363,63500000,23459901.01,-40040098.99,110,66598,5.8,"John Stockwell","Paul Walker","Matt Johnson"
"4261",2005,"2005-10-21","Doom","John Wells Productions","UK","R","Action",6e+07,28031250,76200000,35599687.5,-40600312.5,105,92480,5.2,"Andrzej Bartkowiak","Karl Urban","Dave Callaham"
"4262",2005,"2006-05-25","Imagine Me & You","BBC Films","UK","R","Comedy",7900000,671240,10033000,852474.8,-9180525.2,90,25074,6.8,"Ol Parker","Piper Perabo","Ol Parker"
"4263",2005,"2008-11-28","Revolver","EuropaCorp","France","R","Action",0,75420,0,95783.4,95783.4,111,78882,6.5,"Guy Ritchie","Jason Statham","Luc Besson"
"4264",2005,"2005-09-02","Transporter 2","EuropaCorp","France","PG-13","Action",3.2e+07,43095600,40640000,54731412,14091412,87,167685,6.3,"Louis Leterrier","Jason Statham","Luc Besson"
"4265",2005,"2005-06-24","Tierra de los muertos","Universal Pictures","Canada","R","Horror",1.5e+07,20700082,19050000,26289104.14,7239104.14,93,82522,6.2,"George A. Romero","John Leguizamo","George A. Romero"
"4266",2005,"2005-08-31","The Constant Gardener","Focus Features","UK","R","Drama",0,33579797,0,42646342.19,42646342.19,129,117703,7.5,"Fernando Meirelles","Ralph Fiennes","Jeffrey Caine"
"4267",2005,"2006-02-03","Capote","Sony Pictures Classics","USA","R","Biography",7e+06,28747570,8890000,36509413.9,27619413.9,114,108050,7.4,"Bennett Miller","Philip Seymour Hoffman","Dan Futterman"
"4268",2005,"2005-12-25","The Producers","Universal Pictures","USA","PG-13","Comedy",4.5e+07,19377727,57150000,24609713.29,-32540286.71,134,36654,6.4,"Susan Stroman","Nathan Lane","Mel Brooks"
"4269",2005,"2005-08-26","Broken Flowers","Focus Features","USA","R","Comedy",1e+07,13744960,12700000,17456099.2,4756099.2,106,86481,7.2,"Jim Jarmusch","Bill Murray","Jim Jarmusch"
"4270",2005,"2005-04-08","Sahara","Paramount Pictures","UK","PG-13","Action",1.3e+08,68671925,165100000,87213344.75,-77886655.25,124,81514,6,"Breck Eisner","Matthew McConaughey","Clive Cussler"
"4271",2005,"2006-04-14","Thank You for Smoking","Room 9 Entertainment","USA","R","Comedy",6500000,24792061,8255000,31485917.47,23230917.47,92,198616,7.6,"Jason Reitman","Aaron Eckhart","Jason Reitman"
"4272",2005,"2005-12-09","Syriana","Warner Bros.","USA","R","Drama",5e+07,50824620,63500000,64547267.4,1047267.4,128,114811,7,"Stephen Gaghan","George Clooney","Stephen Gaghan"
"4273",2005,"2006-11-10","Harsh Times","Andrea Sperling Productions","USA","R","Action",2e+06,3337931,2540000,4239172.37,1699172.37,116,57219,6.9,"David Ayer","Christian Bale","David Ayer"
"4274",2005,"2005-10-21","Stay","Regency Enterprises","USA","R","Drama",5e+07,3626883,63500000,4606141.41,-58893858.59,99,65389,6.9,"Marc Forster","Ewan McGregor","David Benioff"
"4275",2005,"2006-01-13","Hoodwinked!","The Weinstein Company","USA","PG","Animation",17500000,51386611,22225000,65260995.97,43035995.97,80,48853,6.5,"Cory Edwards","Anne Hathaway","Cory Edwards"
"4276",2005,"2005-12-16","The Family Stone","The Family Stone","USA","PG-13","Comedy",1.7e+07,60062868,21590000,76279842.36,54689842.36,103,52044,6.3,"Thomas Bezucha","Dermot Mulroney","Thomas Bezucha"
"4277",2005,"2005-03-04","Regresiones de un hombre muerto","Mandalay Pictures","Germany","R","Drama",2.9e+07,6303762,36830000,8005777.74,-28824222.26,103,98068,7.1,"John Maybury","Adrien Brody","Tom Bleecker"
"4278",2005,"2005-11-23","Yours, Mine & Ours","Paramount Pictures","USA","PG","Comedy",4.5e+07,53412862,57150000,67834334.74,10684334.74,88,23229,5.4,"Raja Gosnell","Dennis Quaid","Ron Burch"
"4279",2005,"2005-03-18","Ice Princess","Walt Disney Pictures","USA","G","Comedy",0,24381334,0,30964294.18,30964294.18,98,21228,6,"Tim Fywell","Michelle Trachtenberg","Meg Cabot"
"4280",2005,"2005-07-29","Lady Vengeance","CJ Capital Investment","South Korea","R","Crime",0,211667,0,268817.09,268817.09,115,58692,7.6,"Chan-wook Park","Yeong-ae Lee","Seo-kyeong Jeong"
"4281",2005,"2005-02-25","Diary of a Mad Black Woman","BET Pictures","USA","PG-13","Comedy",5500000,50633099,6985000,64304035.73,57319035.73,100,11095,5.7,"Darren Grant","Kimberly Elise","Tyler Perry"
"4282",2005,"2006-02-17","Caché","Les Films du Losange","France","R","Drama",0,3634407,0,4615696.89,4615696.89,117,58915,7.3,"Michael Haneke","Daniel Auteuil","Michael Haneke"
"4283",2005,"2005-10-07","Proof","Miramax","USA","PG-13","Drama",2e+07,7524766,25400000,9556452.82,-15843547.18,100,38387,6.8,"John Madden","Gwyneth Paltrow","David Auburn"
"4284",2005,"2005-03-18","The Ring Two","DreamWorks","USA","PG-13","Horror",5e+07,76231249,63500000,96813686.23,33313686.23,110,78527,5.4,"Hideo Nakata","Naomi Watts","Ehren Kruger"
"4285",2005,"2006-05-26","Kinky Boots","Miramax","USA","PG-13","Comedy",0,1819454,0,2310706.58,2310706.58,107,15158,7.1,"Julian Jarrold","Chiwetel Ejiofor","Geoff Deane"
"4286",2005,"2006-06-09","The Proposition","UK Film Council","Australia","R","Crime",2e+06,1900725,2540000,2413920.75,-126079.25,104,44941,7.4,"John Hillcoat","Ray Winstone","Nick Cave"
"4287",2005,"2005-10-14","Domino","New Line Cinema","France","R","Action",5e+07,10169202,63500000,12914886.54,-50585113.46,127,59944,6,"Tony Scott","Keira Knightley","Richard Kelly"
"4288",2005,"2005-02-18","Son of the Mask","New Line Cinema","USA","PG","Comedy",8.4e+07,17018422,106680000,21613395.94,-85066604.06,94,44519,2.2,"Lawrence Guterman","Jamie Kennedy","Lance Khazei"
"4289",2005,"2005-04-22","A Lot Like Love","Touchstone Pictures","USA","PG-13","Comedy",3e+07,21835784,38100000,27731445.68,-10368554.32,107,61081,6.6,"Nigel Cole","Ashton Kutcher","Colin Patrick Lynch"
"4290",2005,"2005-05-13","Si te casas... te mato","New Line Cinema","Germany","PG-13","Comedy",6e+07,82931301,76200000,105322752.27,29122752.27,101,47280,5.5,"Robert Luketic","Jennifer Lopez","Anya Kochoff"
"4291",2005,"2005-07-08","Dark Water","Touchstone Pictures","USA","PG-13","Drama",3e+07,25473352,38100000,32351157.04,-5748842.96,105,53073,5.6,"Walter Salles","Jennifer Connelly","Kôji Suzuki"
"4292",2005,"2005-11-09","Get Rich or Die Tryin'","Cent Productions Inc.","USA","R","Biography",4e+07,30981850,50800000,39346949.5,-11453050.5,117,38564,5.1,"Jim Sheridan","50 Cent","Terence Winter"
"4293",2005,"2005-08-26","The Cave","Screen Gems","USA","PG-13","Adventure",3e+07,15007991,38100000,19060148.57,-19039851.43,97,30287,5.1,"Bruce Hunt","Piper Perabo","Michael Steinberg"
"4294",2005,"2006-08-11","Tideland","Recorded Picture Company (RPC)","UK","R","Drama",19300000,66453,24511000,84395.31,-24426604.69,120,28341,6.5,"Terry Gilliam","Jeff Bridges","Tony Grisoni"
